comment,music_id
후회 하고 있어요 우리 다투던 그 날 괜한 자존심 때문에 끝내자고 말을 해버린거야 금방 볼줄 알았어  날 찾길 바랬어허나 며칠이 지나도  아무 소식 조차 없어 항상 내게 너무 잘해줘서쉽게  생각 했나봐 이젠 알아 내 고집 때문에 힘들었던 너를 이 바보야 진짜 아니야 아직도 나를 그렇게 몰라너를 가진 사람 나 밖엔 없는데제발 나를 떠나가지마 (간주중)언제라도 내 편이 되준 너고마운줄 모르고 철없이 난 멋대로 한거용서 할수 없니 이 바보야 진짜 아니야 아직도 나를 그렇게 몰라너를 가진 사람 나 밖엔 없는데제발 떠나가지마 너 하나만 사랑하는데 이대로 나를 두고 가지마나를 버리지마   그냥 날 안아줘다시 사랑하게 돌아와,21
명곡이다~^^,21
"01:05 여기가 제일 좋음...어릴때 쾌걸춘향 보면서 들었을때도 이 부분 젤 좋아했었는데,,하,,,,,",21
노래 '응급실' 가사 영상 잘 봤습니다. 가사가 참 좋습니다!,21
이노래는 쾌걸 춘향이라는 드라마ost로 큰 인기를 누렸지만 작곡보단 작사가  으뜸인 노래다.정말좋다.,21
I came here in 2021 because TBZ covered this in Fitness Boyz Show. I've watched Sassy Girl television series but can't remember ost since I was just 7 years old that time  This song is so beautiful.,21
노래는 이별노래인데 가사 글씨체는 엄청 귀엽고 상큼하게 꾸며놨네,21
명곡이다 ,21
노래방 가면 꼭 부르는 곡인듯 ㅎㅎ,21
ㄹㅇ 이노래개좋음,21
노래 잘 듣고 가요~^^,21
가사 글자 하나 하나 크기로 표시해 주셔서 연습하기 너무 좋았어요~ 유튜버님 완전 쎈스쟁이~~,21
응급실 노래가 너무좋아요.,21
목소리 진짜 죽인다,21
코로나 끝나면 노래방에서 10번 열창 조지고 주위 사람들 응급실 보낼게요,21
노래 좋다,21
헤어지진말 진심이아니라면 함부로 하는거아닌데.. 본인은 진심이아닐지라도 상대방에게는 이미 가슴에못이박혀 아주오래도록 잊혀지지않을텐데...,21
"Thank you, Jin-oppa!  This song is amazing!  Don't mind me, just an english comment passing through",21
건강을 기원합니다..제 마음에 있는 그분이 진정 건강하길 바라며 이 노래를 따라 불러 봅니다.,21
이별전에는 그냥 멜로디만 들었는데 가사가 딱 내얘기다 ㅠㅠ,21
뼈에 사무치도록 그리운 노래.금방 볼줄알았는데 어언 10년이 다되어가네....잘살아~~행복하고,21
한곡갑에 명예의전당이 있다면 이건 무조건 첫턴에 들어감,21
없던 사랑도 하고 싶어지는 노래,21
2020 . 10월 여전히 노래는 좋구만..,21
추억이 샘솟네....,21
이 노래나온때부터좋아했는데 지금들어도좋네요 늦은시간들으니좋네요,21
후회 하고 있어요 우리 다투던 그 날 괜한 자존심 때문에 끝내자고 말을 해버린거야 금방 볼 줄 알았어 날 찾길 바래왔어 허나 며칠이 지나도 아무 소식조차 없어 항상 내게 너무 잘해줘서쉽게 생각했나봐 이젠 알아 내 고집때문에 힘들었던 너를 이 바보야 진짜 아니야 아직도 나를 그렇게 몰라 너를 가진 사랑 나밖엔 없는데 제발 나를 떠나가지마 언제라도 내 편이 돼준 너 고마운 줄 모르고 철없이 나 멋대로한거 용서할수 없니 이 바보야 진짜 아니야 아직도 나를 그렇게 몰라 너를 가진 사랑 나 밖엔 없는데 제발 떠나가지마 너 하나만 사랑하는데 이대로 나를 두고 가지마 나를 버리지마 그냥 날 안아줘 다시 사랑하게 돌아와,21
아니 글씨체조차 옛날시댘ㅋㅋㅋㅋ큐 아 추억돋는다,21
지금은 안부조차 묻지 못하는 남보다 못한 사이가 되었지만 잠깐이라도 머물러줘서 고마웠어나한테 사랑을 알려준 사람은 너야널 잊지 못하는 이유는 그 때 내가 가장 힘들었기 때문이고 아직도 미안해하는 이유는 그래서 많이 서툴렀기때문이야그럴 일은 없겠지만 만약 과거로 돌아갈 수 있다면우리가 아픈 사랑일 것이라고 정해져 있다고 해도 나는 또 다시 너와 사랑에 빠질거야다음생에는 너가 내 마지막 사랑이었으면 좋겠다전하지 못했지만 마지막으로 꼭 하고 싶은 말이있어너가 내 첫사랑이다,21
고마워요️,21
왜 지나간 노래는 아름다운가요~화사한 햇살에 파묻힌 애절한 맘 그리움으로 머물 때 그때를 회상하며노래가사는 서쪽하늘석양 등 뒤로 휘감고가슴 속 숨겨놓은 편지 한장 꺼내들고 읽을려고 하니이내 기억속에서 숨어버려애써 쓴 웃은 지어보내요...ㅠ,21
2021.10.13 还在听，青春的味道,21
노래 듣자마자 내 10대  학창시절로 자동 리셋 된다.,21
와    좋다,21
노래,21
가사 꾸며놓는거 개귀엽내 ㅋ,21
2022년 지금 들어도 좋다,21
언제들어도조타,21
Minhee has a good taste in music,21
Comeback here after hear hyunsik cover they both awesome,21
누가 커버해도 원곡 절대 못따라잡음,21
Rất hay,21
여자친구한테 불러주기 딱 좋은 노래,21
응급실 부른 사람 목소리가 사람 목소리가 아니라 신의 목소리다 이목소리 나도 갔고 싶다....,21
이노래 넘나 취적인것♡♡내 맘을 훔쳐간 나쁜 노래ㅠ,21
들어도들어도질리지않고좋아요.,21
전에도 지금도 앞으로도 못잊을 너니까 난 앞으로 계속 이노래 듣고있엤자..,21
평생들어도 질리지 않을 명곡 ... 2050 ? 이러고 있지 않을까,21
저런 스크래치 어떻게 내지 ㅜㅜ 넘 좋당,21
응급실 노래 개좋음,21
"살다보니 인연이라는 것은 우리의 마음대로 되는것은 아니라는 것으로 깨달아졌습니다. 어제는 억겁의 시간앞에 당신과 내가 한중간에 서있었습니다. 그런 시간앞에 나와 당신을 포함한 모든 사람들의 인연들과 필연들은 그저 스쳐지나가는 시간일뿐이겠지요. 수없이 많은 사람들 사이에서 당신과 나는 우연을 가장한 인연으로 만날수 있었습니다. 그 인연으로 우리는 사랑을 할수 있었지만 필연은 아니었는지, 영원히 하겠다는 굳은 약속은 그저 한순간의 바램으로 잊쳐져 버렸죠.  난 어제의 사랑을 앞에 두고 당신을 아끼지 못하였고, 잃은 후에야 당신에게 지워준 크나큰 아픔과 슬픔들을 이해할수가 있었습니다. 하늘에서 다시 기회를 준다면 당신에게 고백을 하겠습니다. 너무나 미안했다고, 그리고 당신과의 만남은 한순간 이었지만 당신을 진정으로 사랑했다고. 당신께 해주지 못한 모든것들이 미안했다고. 또한 당신을 떠난후 정말 후회 했다고. 진정 윤회를 할수 있다면 후생에는 당신을 먼저 찾아가 평생 사랑을 해주겠노라고 간절히 기원합니다.",21
,21
세월이 지나도 변하지 않는 명곡 여자들이 싫어하는 노래라는게 정말 아쉬워서 남자들끼리 노래방가서 꼭 선약해서 쟁탈해야하는 노래 ㅋㅋ 서시랑 같이 참 좋아하고 즐겨 부르는 노래죠.,21
2023 6월에들어도 넘좋구나~^^♡,21
좋은노래듣고 행복하세요~~^^,21
2022년 12월 30일 버스킹곡으로 결정하고싶어 반복듣기 중.너무 좋네요,21
이노래뭘케좋냐...하ㅜ,21
노래는 많이 들었는데 제목이 응급실이였군요  어쩜 내얘기를 꼭 노래로불러주는것같아요 노래들으면 그때가 생각나네요  사랑의슬픔,21
이노래 오랜만이다,21
,21
옆에서 지켜주는 사람한테 잘합시다,21
