music_id,ymd,price_high,price_low,price_close,pct_price_change,cnt_units_traded
21,2021-10-20,99700,95100,95100,-4.8,23
21,2021-10-21,97000,94200,97000,2.0,8
21,2021-10-22,96800,94600,96500,-0.5,25
21,2021-10-23,96400,94500,95900,-0.6,22
21,2021-10-24,96200,94000,96200,0.3,33
21,2021-10-25,97700,96500,96500,0.3,25
21,2021-10-26,96600,96500,96500,0.0,6
21,2021-10-27,97600,95000,95000,-1.6,22
21,2021-10-28,95200,93400,95000,0.0,25
21,2021-10-29,95500,93000,93700,-1.4,19
21,2021-10-30,95100,93000,95000,1.4,6
21,2021-10-31,93200,90000,93000,-2.1,11
21,2021-11-01,92100,82800,82800,-11.0,40
21,2021-11-02,83000,79600,83000,0.2,23
21,2021-11-03,90000,81000,90000,8.4,13
21,2021-11-04,89300,83100,88700,-1.4,11
21,2021-11-05,89400,85700,85700,-3.4,7
21,2021-11-06,90000,89400,89900,4.9,10
21,2021-11-07,95600,89900,95600,6.3,28
21,2021-11-08,96100,89100,89100,-6.8,12
21,2021-11-09,95000,90000,95000,6.6,17
21,2021-11-10,91100,88200,89900,-5.4,11
21,2021-11-11,93900,89000,89200,-0.8,20
21,2021-11-12,92400,89400,92400,3.6,9
21,2021-11-13,91900,89400,91100,-1.4,9
21,2021-11-14,91200,89200,91200,0.1,8
21,2021-11-15,89100,89100,89100,-2.3,1
21,2021-11-16,88400,73100,79900,-10.3,63
21,2021-11-17,80300,77100,79300,-0.8,17
21,2021-11-18,85000,77100,85000,7.2,27
21,2021-11-19,82000,80300,81400,-4.2,13
21,2021-11-20,81500,80000,80500,-1.1,13
21,2021-11-21,82500,78100,82500,2.5,10
21,2021-11-22,82500,80000,80000,-3.0,3
21,2021-11-23,81000,79100,79100,-1.1,7
21,2021-11-24,78500,78300,78400,-0.9,4
21,2021-11-25,79900,78000,78000,-0.5,41
21,2021-11-26,80700,75000,80700,3.5,20
21,2021-11-27,78700,72000,74300,-7.9,30
21,2021-11-28,78600,74200,78000,5.0,18
21,2021-11-29,78000,74600,76500,-1.9,15
21,2021-11-30,75700,73400,73600,-3.8,14
21,2021-12-01,76000,67000,71500,-2.9,44
21,2021-12-02,73600,70500,70700,-1.1,20
21,2021-12-03,72100,70800,71300,0.8,15
21,2021-12-04,72900,70800,72900,2.2,17
21,2021-12-05,74300,71000,74200,1.8,17
21,2021-12-06,75000,72000,72500,-2.3,6
21,2021-12-07,75200,72100,72500,0.0,8
21,2021-12-08,75400,72700,75400,4.0,10
21,2021-12-09,75600,72800,72800,-3.4,25
21,2021-12-10,73600,72700,72700,-0.1,13
21,2021-12-11,78300,72700,75000,3.2,33
21,2021-12-12,78500,74600,78500,4.7,11
21,2021-12-13,78600,76200,76200,-2.9,8
21,2021-12-14,78000,74600,74600,-2.1,20
21,2021-12-15,77700,73000,75100,0.7,9
21,2021-12-16,78000,73000,75000,-0.1,25
21,2021-12-17,76800,72000,75500,0.7,12
21,2021-12-18,77800,75500,75500,0.0,15
21,2021-12-19,76100,75900,76100,0.8,3
21,2021-12-20,77200,76100,76100,0.0,4
21,2021-12-21,77200,76000,77200,1.4,7
21,2021-12-22,77200,76000,77200,0.0,0
21,2021-12-23,76900,72100,72300,-6.3,17
21,2021-12-24,76900,72100,76900,6.4,16
21,2021-12-25,77000,74100,76700,-0.3,8
21,2021-12-26,77000,74000,74100,-3.4,15
21,2021-12-27,76200,74000,74000,-0.1,8
21,2021-12-28,75000,73700,75000,1.4,3
21,2021-12-29,75700,73700,75700,0.9,8
21,2021-12-30,75800,75400,75700,0.0,4
21,2021-12-31,76700,75300,75300,-0.5,9
21,2022-01-01,75800,73000,75800,0.7,7
21,2022-01-02,76400,73200,75300,-0.7,22
21,2022-01-03,75000,73300,73300,-2.7,20
21,2022-01-04,74800,73200,73200,-0.1,15
21,2022-01-05,74200,72100,74200,1.4,19
21,2022-01-06,74700,72400,74700,0.7,9
21,2022-01-07,74600,72700,72700,-2.7,5
21,2022-01-08,74600,72800,74600,2.6,9
21,2022-01-09,74500,73300,73300,-1.7,2
21,2022-01-10,73300,72500,72500,-1.1,7
21,2022-01-11,73300,72500,73300,1.1,41
21,2022-01-12,73800,72100,72100,-1.6,19
21,2022-01-13,74600,72100,74500,3.3,8
21,2022-01-14,74600,70500,71800,-3.6,20
21,2022-01-15,74200,72100,72100,0.4,6
21,2022-01-16,74300,72500,72600,0.7,5
21,2022-01-17,74300,71700,74200,2.2,28
21,2022-01-18,72100,71500,71500,-3.6,11
21,2022-01-19,71000,70000,70000,-2.1,12
21,2022-01-20,70000,70000,70000,0.0,4
21,2022-01-21,70900,68400,68400,-2.3,8
21,2022-01-22,69300,66000,66000,-3.5,11
21,2022-01-23,67000,64600,64700,-2.0,15
21,2022-01-24,68200,63000,63000,-2.6,13
21,2022-01-25,67800,63200,67000,6.3,25
21,2022-01-26,68500,64000,64200,-4.2,22
21,2022-01-27,68000,64400,66000,2.8,11
21,2022-01-28,68000,67000,67000,1.5,9
21,2022-01-29,68400,67000,68400,2.1,5
21,2022-01-30,69000,69000,69000,0.9,1
21,2022-01-31,69300,69200,69300,0.4,9
21,2022-02-01,69200,66500,69200,-0.1,2
21,2022-02-02,69200,66800,66800,-3.5,2
21,2022-02-03,69100,66700,66700,-0.1,19
21,2022-02-04,69500,66800,69500,4.2,8
21,2022-02-05,69000,69000,69000,-0.7,3
21,2022-02-06,69800,69000,69000,0.0,8
21,2022-02-07,68100,68000,68000,-1.4,2
21,2022-02-08,69500,67700,69500,2.2,3
21,2022-02-09,69900,67600,68000,-2.2,16
21,2022-02-10,70800,67700,69000,1.5,13
21,2022-02-11,70800,68000,70800,2.6,14
21,2022-02-12,70900,70800,70900,0.1,4
21,2022-02-13,71000,69300,71000,0.1,20
21,2022-02-14,71000,67000,67000,-5.6,26
21,2022-02-15,70600,68000,70600,5.4,10
21,2022-02-16,70600,68000,70500,-0.1,15
21,2022-02-17,70900,70600,70900,0.6,3
21,2022-02-18,69800,68100,69800,-1.6,11
21,2022-02-19,69800,68000,69800,0.0,3
21,2022-02-20,70000,69800,70000,0.3,14
21,2022-02-21,70800,69100,69200,-1.1,8
21,2022-02-22,70500,69200,70500,1.9,12
21,2022-02-23,71000,69400,70900,0.6,38
21,2022-02-24,71000,69400,69400,-2.1,2
21,2022-02-25,71000,71000,71000,2.3,3
21,2022-02-26,71000,69400,69400,-2.3,6
21,2022-02-27,72700,70400,70400,1.4,4
21,2022-02-28,72500,72300,72300,2.7,4
21,2022-03-01,72500,69500,69500,-3.9,6
21,2022-03-02,72400,69300,69300,-0.3,53
21,2022-03-03,70000,69000,69000,-0.4,11
21,2022-03-04,71800,71300,71300,3.3,8
21,2022-03-05,71300,71100,71100,-0.3,7
21,2022-03-06,71700,71000,71700,0.8,7
21,2022-03-07,71800,70800,71000,-1.0,9
21,2022-03-08,71800,71700,71800,1.1,18
21,2022-03-09,72300,71100,71100,-1.0,3
21,2022-03-10,72800,71100,71100,0.0,35
21,2022-03-11,72800,69300,69300,-2.5,52
21,2022-03-12,70000,50000,50000,-27.8,173
21,2022-03-13,63400,50000,63400,26.8,79
